Multi-syllable words with multiple strokes

'representative': REP/TEUF
'gladly': TKPWHRAD/HREU
'linen': HREUPB/-PB
'hopeless': HOEP/-LS
'gratefully': TKPWRAEUT/TPHREU
'nephew': TPHEF/AOU
'bloody': PWHRAO/TKEU
'Atlantic': AT/HRAPBG
'improved': EUPL/PROFD
'admire': AD/PHAOEUR
'openly': OEP/HREU
'sailors': SAEUL/ORS
'abide': A/PWAOEUD
'advancing': SRAPBS/-G
'forests': TPOEFRT/-S
'Polly': POL/HREU
'recorded': RORD/-D
'modification': PHOD/KAEUGS
'upstairs': AUP/STAEURS
'Wilson': WEUL/SOPB
'comrades': KOPL/RADZ
'descent': TKE/SEPBT
'whither': WHEU/THER
'envy': EPB/SREU
'pretend': PRE/TEPBD
'folded': TPOELD/-D
'curtain': KUR/TAPB
'obscure': OB/SKAOUR
'alas': A/HRAS
'Egyptian': AOE/SKWREUPGS
'landing': HRAPBD/-G
'leagues': HRAOEG/-S
'luxury': HRUBGS/REU
'artillery': AR/TEUL/REU
'awakened': A/WAEUBG/-PBD
'faded': TPAEUD/-D
'temperature': TEPL/TAOUR
'contented': KAUPBT/-D
'brother's': PWROER/AES
'Andrew': APB/TKRAOU
'abundance': PWUPB/TKAPBS
'medical': PHED/K-L
'garrison': TKPWAEUR/SOPB
'wife's': WAOEUF/AES
'retained': RAOE/TAEUPBD
'agitation': APBLG/TAEUGS
'prominent': PROPL/TPHEPBT
'embrace': EPL/PWRAEUS
'eldest': ELD/EFT
'anguish': APBG/WEURB
'strictly': STREUBGT/HREU
'justly': SKWRUFT/HREU
'recollection': REBGT/-G
'answers': AEPBS/-S
'plunged': PHRUPBG/-D
'thyself': THAOEU/SEFL
'expecting': EBGS/PEG
'rescue': RES/KAOU
'anxiously': KPUS/HREU
'awoke': A/WOEBG
'expectation': KP-PT/AEUGS
'incomplete': EUPB/KPHRAOET
'invention': EUPB/SREPBGS
'disagreeable': TKEUS/TKPWRAOEBL
'piano': PAPB/TPHOE
'defeated': TKE/TPAOET/-D
'persuade': PER/SWAEUD
'deprived': TKE/PRAOEUFD
'electric': HREBG/TREUBG
'endless': EPBD/-LS
'interval': EUPBT/SRAL
'invisible': EUPB/SREUBL
'occupy': OBG/PAOEU
'Jacob': SKWRAEU/KOB
'hesitation': HES/TAEUGS
'destiny': TKEFT/TPHEU
'loaded': HRAOD/-D
'ancestors': APB/SEFT/ORS
'commanding': KPHAPBD/-G
'madness': PHAD/-PBS
'happily': HAP/HREU
'assigned': A/SAOEUPBD
'declined': TKE/KHRAOEUPBD
'temptation': TEPL/TAEUGS
'lady's': HRAEUD/KWREU/AES
'willingly': HR-G/HREU
'spectacle': SPEBGT/K-L
'uneasy': UPB/EZ
'formidable': TPORPLD/-BL
'machinery': PH-PB/REU
'attractive': A/TRAF
'sickness': SEUBG/-PBS
'ashore': A/SHOR
'clasped': KHRAS/-PD
'leather': HRE/THER
'interfere': EUPBT/TPAOER
'violently': SRAOEUL/HREPBT/HREU
'witnesses': W-PBS/-S
'timber': TEUPL/PWER
'Jackson': SKWRABG/SOPB
'murdered': PHURD/-D
'Laura': HRAU/RA
'savages': SAF/APBLG/-S
'philosopher': TPHROS/TPER
'insult': EUPB/SULT
'incapable': EUPB/KAEUP/-BL
'eloquence': EL/KWEPBS
'sensitive': SEPBT/TEUF
'robin': ROB/-PB
'appetite': AP/TAOEUT
'picturesque': PEUBG/TREFBG
'Douglas': TKUG/HRAS
'courtesy': KORT/SEU
'murmur': PHUR/PHUR
'elegant': EL/TKPWAPBT
'avoided': A/SROEUD/-D
'perish': PER/EURB
'infant': EUPB/TPAPBT
'Norman': TPHOR/PHAPB
'offended': OE/TPEPBD/-D
'Japanese': SKWRAP/TPHAOES
'encounter': EPB/KOURPBT
'footsteps': TPAOT/STEPS
'amiable': APL/KWRABL
'arrows': AR/OES
'consisting': KAO/-G
'halted': HAULT/-D
'gallery': TKPWAL/REU
'tempted': TEPLT/-D
'frontier': TPROPB/TAOER
'continent': KOPBT/TPHEPBT
'impatience': EUPL/PAEURBS
'fiery': TPAOEU/REU
'Julia': SKWRAOUL/KWRA
'Albert': AL/PWERT
'rejoined': RE/SKWROEUPB/-D
'speedily': SPAOED/HREU
'consented': KEFPBT/-D
'hereafter': HAOER/AFR
'fanny': TPAPB/KWREU
'anchor': APB/KOR
'eminent': EPL/TPHEPBT
'exercised': KPERZ/-D
'seeming': SAOEPL/-G
'illustrious': EUL/HRUFT/ROUS
'longed': HROPBG/-D
'abundant': A/PWUPBD/APBT
'doubted': TKOUT/-D
'greeted': TKPWRAOET/-D
'erect': ER/EBGT
'meanwhile': PHAOEPB/WHAOEUL
'wagon': WAG/OPB
'undertake': UPBD/TAEUBG
'Anna': APB/TPHA
'clergy': KHRER/SKWREU
'array': A/RAEU
'corners': KRORPB/-S
'loudly': HROUD/HREU
'bitterness': PWEURT/-PBS
'guardian': TKPWARD/KWRAPB
'rejected': RE/SKWREBGD
'boldly': PWOLD/HREU
'injustice': EUPB/SRUFS
'expressions': EBGS/PREGSZ
'landscape': HRAPB/SKAEUP
'protested': PROE/TEFT/-D
'abandon': A/PWAPB/TKOPB
'desirous': TKE/SAOEUR/OUS
'alliance': A/HRAOEUPBS
'sinking': SEUPB/K-G
'apprehension': AP/HEPBGS
'Gregory': TKPWREG/REU
'hideous': HEUD/KWROUS
'Hamilton': HA/PHEUL/TOPB
'sweetness': SWAOET/-PBS
'dismissed': TKEUS/PHEUS/-D
'modified': PHOD/TPAOEUD
'miracle': PHEUR/K-L
'observing': OEB/-G
'conveyed': KAUPB/SRAEUD
'resemblance': RE/SEPL/PWHRAPBS
'extend': EBGS/TEPBD
'rebellion': RE/PWEL/KWROPB
'inclination': EUPBG/TPHAEUGS
'copper': KOP/ER
'sailor': SAEU/HROR
'Alfred': AL/TPRED
'promoting': PRO/PHOET/-G
'imperial': EUPL/PAOERL
'victor': SREUBG/TOR
'solemnly': SOL/EPL/HREU
'twenty-four': TWEPBT/TPOUR
'crimson': KREUPL/SOPB
'bargain': PWAR/TKPWAEUPB
'fatigue': TPA/TAOEG
'Adams': AD/APLS
'dislike': TKEUS/HRAOEUBG
'witnessed': W-PBS/-D
'infantry': EUPB/TPAPB/TREU
'countrymen': KUPB/TREU/PHEPB
'enemy's': EPB/PHEU/AES
'addresses': A/TKREFS
'sofa': SOEF/A
'deserved': TKAOE/SER/-FD
'answering': AEPBS/-G
'virtuous': SREURT/WOUS
'retain': RE/TAEUPB
'conspicuous': KAUPB/SPEUBG/WOUS
'Berlin': PWER/HREUPB
'editing': ETD/-G
'Cambridge': KAPL/PWREUPBLG
'declaration': TKEBG/HRAEUGS
'smallest': SPHAUL/EFT
'excess': EBG/SES
'disgust': TKEUS/TKPWUFT
'Herbert': HERB/ERT
'convent': KOPB/SREPBT
'suspended': SUS/PEPBD/-D
'unnecessary': UPB/TPHES
'fortnight': TPORT/TPHAOEUT
'addressing': A/TKREFG
'frightful': TPRAOEUT/-FL
'encourage': EPB/KORPBLG
'procure': PRO/KAOUR
'frankly': TPRAPBG/HREU
'relieve': RE/HREF
'intentions': EUPB/TEPBGS/-S
'unjust': UPB/SKWRUFT
'Morrow': PHOR/ROE
'induce': EUPB/TKAOUS
'inward': EUPB/WARD
'fairy': TPAEUR/REU
'conclude': KAUPB/KHRAOUD
'torture': TOR/TUR
'hearty': HAR/TEU
'Abraham': AEUB/HAPL
'imp.': EUFRP/TP-PL
'strongest': STROPBG/EFT
'Horace': HOR/AS
'guarded': TKPWARD/-D
'Charlotte': KHARL/OT
'ardent': ARD/EPBT
'fountain': TPOUPB/TAEUPB
'Clara': KHRA/RA
