Our Aunt
'there,"': THR-RBGS/KR-GS
'said': SED
'the': -T
'agent;': AGT/STPH*FPLT
'"but': KW-GS/PWUT
'then': THEPB
'the': -T
'magic': PHAPBLG/EUBG
'business': PWEUS
'began—a': TKPWAPB/EPL/TKA*RB/AEU
'great': TKPWRAET
'performance,': P-FRPBS/KW-BG
''The': A*E/KPA*/-T
'Judgment': KPA/SKWRUPLT
'in': TPH
'the': -T
'Theatre.'': KPA/THAO*ERT/TP-PL/AE
'The': KPA/-T
'box-keepers': PWOBGS/H-PB/KAOERPS
'were': WR
'at': AT
'their': THAEUR
'posts,': POEFTS/KW-BG
