Multi-syllable words with doubled consonant letters

'thickness': THEUBG/-PBS
'Harris': HA*EURS
'nodding': TPHOD/-G
'shilling': SHEULG
'swollen': SWOL/-PB
'stubborn': STURPB
'opponent': POEPBT
'Brussels': PWRUS/ELS
'harness': HARPBS
'channels': KHAPBLS
'dreadfully': TKRED/TPHREU
'accomplishment': PHREUPLT
'syllable': SEUL/-BL
'commissioners': KPHEUGS/ERS
'cordially': KORPBLG/HREU
'slipping': SHREUPG
'belly': PWEL/HREU
'powerless': POURLS
'passenger': PAEPBG
'Rebecca': RE/PWEBG/KA
'disappearance': TKEUS/PAOERPBS
'accumulated': A/KAOUPL/HRAEUTD
'impossibility': EUPL/POBLT
'territories': TERTS
'Geoffrey': SKWR*EF/REU
'accommodation': A/KOPL/TKAEUGS
'formally': TPORPL/HREU
'umbrella': UPL/PWREL/HRA
'thrilling': THREULG
'abyss': A/PWEUS
'planning': PHRAPBG
'incessantly': EUPB/SEFPBT/HREU
'flattery': TPHRAT/REU
'buttons': PW*PBS
'frankness': TPRAPBG/-PBS
'progressive': PROG/EUF
'villa': SREUL/A
'appoint': POEUPB
'interrupt': SPWRUPT
'suppress': SPRES
'kettle': K*ELT
'boldness': PWOLD/-PBS
'rabbit': RABT
'befallen': PWE/TPAUPBL
'needless': TPHAOED/-LS
'affectionately': A/TPEBGS/AT/HREU
'recommendation': REPLGS
'cheerfulness': KHAOER/-FL/-PBS
'dripping': TKREUPG
'senseless': SEPBS/-LS
'occupying': OUPG
'attach': A/TAFP
'fellowship': TPEL/OE/SH-P
'Tennyson': TEPB/SO*PB
'accursed': A*/KR*/TK-LS/KURS/-D
'currency': KURPB/SEU
'litter': HREUT/ER
'tariff': TAR/EUF
'suggestive': SUG/EUF
'commanders': KPHAPB/TKERS
'Achilles': A/KEUL/ES
'grassy': TKPWRAS/SEU
'unsuccessful': UPB/SKEFL
'witty': WEUT/TEU
'coldness': KOELD/-PBS
'applying': A/PHRAOEUG
'biggest': PWEUG/EFT
'Larry': HRAR/REU
'affirm': A/TPEURPL
'calmness': KAUPL/-PBS
'accession': ABG/SEGS
'hopelessly': HOEP/HRES/HREU
'governess': TKPWO*FRPBS
'corrections': KREBGS/-S
'luggage': HRUG/APBLG
'rubbish': RUB/EURB
'accents': ABG/SEPBTS
'accidentally': STKEPBLT
'Patty': PA*T/TEU
'mentally': PHEPBT/HREU
'accessed': ABG/SES/-D
'commented': KPHEPBT/-D
'oppressive': OP/PRES/EUF
'fearless': TPAOERLS
'motto': PHOT/TOE
'fruitless': TPRAOUT/HRES
'effectual': EFBG/KHUL
'tissue': T*EURB
'impelled': EUPL/PELD
'Ulysses': AOU/HREUS/AOES
'robber': ROB/ER
'Barry': PWAR/REU
'rebellious': RE/PWEL/KWROUS
'massacre': PHAS/K-R
'button': PW*PB
'collections': KHREBGS/-S
'programme': PRA*RPL
'millennium': PHEUL/EPB/KWRUPL
'commonwealth': KPHOPB/W*ELT
'suffrage': SUFR/APBLG
'commodities': KPHOD/TEUS
'admitting': AD/PHEUGT
'Bobby': PWOB/KWREU
'surround': SROUPBD
'ruddy': RUD/TKEU
'appalling': A/PAULG
'profess': PRO/TPES
'imminent': EUPL/TPHEPBT
'duchess': TKUFP/ES
'fondness': TPOPBD/-PBS
'apprehend': A/PREPBD
'balloon': PWHRAOPB
