The Salad
'and': SKP
'as': AS
'he': HE
'saw': SAU
'three': THRAOE
'of': -F
'them': THEPL
'striding': STRAOEUD/-G
'about,': PW-RBGS
'he': HE
'thought': THAUT
'to': TO
'himself,': HEUPLS/KW-BG
''I': A*E/EU
'can': K
'only': OEPBL
'save': SAF
'myself': PHAO*EUS
'by': PWEU
'feigning': TPAEUPBG
'to': TO
'be': -B
'asleep';': A/SHRAOEP/AE/STPH*FPLT
'so': SO
'he': HE
'laid': HRAEUD
'himself': HEUPLS
'down': TKOUPB
'as': AS
'if': TP
'he': HE
'were': WR
'in': TPH
'a': AEU
'sound': SOUPBD
'sleep.': SHRAOEP/TP-PL
'When': KPA/WHEPB
'the': -T
'giants': SKWRAOEUPBT/-S
'came': KAEUPL
'up': UP
'to': TO
'him,': HEUPL/KW-BG
'the': -T
'first': TPEUFRT
'pushed': PURBD
'him': HEUPL
'with': W
'his': HEUS
'foot,': TPAOT/KW-BG
'and': SKP
'said,': SED/KW-BG
''What': A*E/KPA*/WHA
'worm': WORPL
'is': S
'this': TH
'that': THA
'lies': HRAO*EUS
'here': HAOER
'curled': KURLD
'up?'': UP/H-F/AE
''Tread': A*E/KPA*/TRED
'upon': POPB
'him': HEUPL
'and': SKP
'kill': KEUL
'him,'': HEUPL/KW-BG/AE
'said': SED
'the': -T
'second.': SEBGD/TP-PL
''It's': A*E/KPA*/T/AES
'not': TPHOT
'worth': WO*RT
'the': -T
'trouble,'': TRUBL/KW-BG/AE
'said': SED
'the': -T
'third;': THEURD/STPH*FPLT
''let': A*E/HRET
'him': HEUPL
'live,': HREUF/KW-BG
'he'll': *EL
'go': TKPW
'climbing': KHRAOEUPL/-G
'higher': HAOEUR
'up': UP
'the': -T
'mountain,': PHOUPB/TAEUPB/KW-BG
'and': SKP
'some': SOPL
'cloud': KHROUD
'will': HR
'come': KOPL
'rolling': ROLG
'and': SKP
'carry': KAER
'him': HEUPL
'away.'': WA*EU/TP-PL/AE
'And': AFPBD
'they': THE
'passed': PAFD
'on.': OPB/TP-PL
'But': KPA/PWUT
'the': -T
'huntsman': HUPBTS/PHA*PB
'had': H
'heard': HAERD
'all': AUL
'they': THE
'said;': SED/STPH*FPLT
'and': SKP
'as': AS
'soon': SAOPB
'as': AS
'they': THE
'were': WR
'gone,': TKPWOPB/KW-BG
'he': HE
'climbed': KHRAOEUPLD
'to': TO
