The Darning-Needle
'myself,"': PHAO*EUS/KW-BG/KR-GS
'said': SED
'the': -T
'darning-needle,': TKARPB/-G/H-PB/TPHAO*ELD/KW-BG
'"that': KW-GS/THA
'looks': HRAOBGS
'well;': WEL/STPH*FPLT
'now': TPHOU
'I': EU
'can': K
'be': -B
'seen,': SAOEPB/KW-BG
'but': PWUT
'I': EU
'hope': HOEP
'I': EU
'shall': SHAL
'not': TPHOT
'be': -B
'sea-sick,': SAE/H-PB/SEUBG/KW-BG
'or': OR
'I': EU
'shall': SHAL
'break': PWRAEBG
'again."': TKPWEPB/TP-PL/KR-GS
'She': KPA/SHE
'was': WAS
'not': TPHOT
'sea-sick,': SAE/H-PB/SEUBG/KW-BG
'and': SKP
'she': SHE
'did': TK
'not': TPHOT
'break.': PWRAEBG/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'a': AEU
'good': TKPWAOD
'thing': THEUPBG
'against': TKPWEPBS
'sea-sickness': SAE/H-PB/SEUBG/-PBS
'to': TO
'have': SR
'a': AEU
'steel': STAOEL
'stomach,': STOPL/ARBGS
'and': SKP
'not': TPHOT
'to': TO
'forget': TPORGT
'one's': W*UPBS
'own': OEPB
'importance.': PORPBS/TP-PL
'Now': KPA/TPHOU
'my': PHEU
'sea-sickness': SAE/H-PB/SEUBG/-PBS
'has': HAS
'past:': PAFT/STPH-FPLT
'delicate': TKEL/KAT
'people': PAOEPL
'can': K
'bear': PWAER
'a': AEU
'great': TKPWRAET
'deal."': TKAOEL/TP-PL/KR-GS
'Crack': KPA/KRABG
'went': WEPBT
'the': -T
'egg-shell,': EG/H-PB/SHEL/KW-BG
'as': AS
'a': AEU
'waggon': WAG/OPB/A*U
'passed': PAFD
'over': OEFR
'it.': T/TP-PL
'"Good': KW-GS/KPA*/TKPWAOD
'heavens,': HEFPBS/KW-BG
'how': HOU
'it': T
'crushes!"': KRURBS/SKHRAPL/KR-GS
'said': SED
'the': -T
'darning-needle.': TKARPB/-G/H-PB/TPHAO*ELD/TP-PL
'"I': KW-GS/EU
'shall': SHAL
'be': -B
'sick': SEUBG
'now.': TPHOU/TP-PL
'I': EU
'am': APL
'breaking!"': PWRAEG/SKHRAPL/KR-GS
'but': PWUT
'she': SHE
'did': TK
'not': TPHOT
'break,': PWRAEBG/KW-BG
'though': THOE
'the': -T
'waggon': WAG/OPB/A*U
'went': WEPBT
'over': OEFR
'her': HER
'as': AS
'she': SHE
'lay': HRAEU
'at': AT
'full': TPUL
'length;': HREPBG/STPH*FPLT
'and': SKP
'there': THR
'let': HRET
'her': HER
'lie.': HRAOEU/TP-PL
