An Unwritten Novel

'Minnie,': PHEUPB/AO*E/KW-BG
'more': PHOR
'of': -F
'a': AEU
'grasshopper': TKPWHR*FRPBLG
'than': THAPB
'ever—old': -FR/EPL/TKA*RB/OLD
'cloak': KHROEBG
'she': SHE
'had': H
'last': HRAFT
'year.': KWRAOER/TP-PL
'Well,': KPA/WEL/KW-BG
'well,': WEL/KW-BG
'with': W
'two': TWO
'children': KHEURPB
'these': THEZ
'days': TKAEUS
'one': WUPB
'can't': K-PBT
'do': TKO
'more.': PHOR/TP-PL
'No,': KPA/TPHO/KW-BG
'Minnie,': PHEUPB/AO*E/KW-BG
'I've': AOEUF
'got': TKPWOT
'it;': T/STPH*FPLT
'here': HAOER
'you': U
'are,': R-RBGS
'cabby—none': KR*/A*/PW*/PW*/KWREU/EPL/TKA*RB/TPHOPB
'of': -F
'your': KWROUR
'ways': WAEUS
'with': W
'me.': PHE/TP-PL
'Come': KPA/KOPL
'in,': TPH/KW-BG
'Minnie.': PHEUPB/AO*E/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'I': EU
'could': KO
'carry': KAER
'you,': U/KW-BG
'let': HRET
'alone': A/HROEPB
'your': KWROUR
'basket!"': PWAFBGT/SKHRAPL/KR-GS
'So': KPA/SO
'they': THE
'go': TKPW
'into': TPHAO
'the': -T
'dining-room.': TKAOEUPBG/H-PB/RAOPL/TP-PL
'"Aunt': KW-GS/A*UPBT
'Minnie,': PHEUPB/AO*E/KW-BG
'children."': KHEURPB/TP-PL/KR-GS
'Slowly': KPA/SHROEL
'the': -T
'knives': TPHAOEUFS
'and': SKP
'forks': TPORBGS
'sink': S*EUPBG
'from': TPR
'the': -T
'upright.': AUP/RAOEUGT/TP-PL
'Down': KPA/TKOUPB
'they': THE
'get': TKPWET
'(Bob': PREPB/PWO*B
'and': SKP
'Barbara),': PWARB/RA/PR*EPB/KW-BG
'hold': HOLD
'out': OUT
'hands': HAPBDZ
'stiffly;': STEUF/HREU/STPH*FPLT
'back': PWABG
'again': TKPWEPB
'to': TO
'their': THAEUR
'chairs,': KHAEURS/KW-BG
'staring': STAERG
'between': TWAOEPB
'the': -T
'resumed': RAOUPLD
'mouthfuls.': PHO*UT/-FL/-S/TP-PL
'[But': PWR-BG/KPA*/PWUT
'this': TH
'we'll': WAOEL
'skip;': SKEUP/STPH*FPLT
'ornaments,': ORPB/-PLTS/KW-BG
'curtains,': KUR/TEUPBS/KW-BG
'trefoil': TRE/TPOEUL
'china': KHAOEUPB/A
'plate,': PHRAET/KW-BG
'yellow': KWREL/OE
'oblongs': OB/HROPBG/-S
'of': -F
'cheese,': KHAOES/KW-BG
'white': WHAOEUT
'squares': SKWAEURS
'of': -F
'biscuit—skip—oh,': PWEUFBGT/EPL/TKA*RB/SKEUP/EPL/TKA*RB/OERBGS
'but': PWUT
'wait!': WAEUT/SKHRAPL
'Halfway': KPA/HAF/WAEU
'through': THRU
'luncheon': HR*UPBGS
'one': WUPB
'of': -F
'those': THOZ
'shivers;': SH*EUF/ERS/STPH*FPLT
'Bob': PWO*B
'stares': STAERS
'at': AT
'her,': HER/KW-BG
'spoon': SPAOPB
'in': TPH
'mouth.': PHO*UT/TP-PL
'"Get': KW-GS/KPA*/TKPWET
'on': OPB
'with': W
'your': KWROUR
